index,Entity,Code,Year,cumulative_emissions_total,emissions_total,population,longitude,latitude
224,Malawi,MWI,1951,493184.0,258634.0,3002886,33.7703,-13.9899
223,Madagascar,MDG,1951,582307.0,245458.0,4057204,45.7167,-20.4667
222,Lithuania,LTU,1951,120788150.0,7576313.0,2458823,25.2799,54.6896
221,Libya,LBY,1951,311440.0,168544.0,1145389,13.1072,32.8578
220,Liberia,LBR,1951,91600.0,43968.0,936416,-10.7957,6.30039
248,South Korea,KOR,1951,18870820.0,2923842.0,19868990,126.957,37.5323
247,Somalia,SOM,1951,95264.0,47632.0,2276682,45.3254,2.07515
246,Slovenia,SVN,1951,36932620.0,2129049.0,1462731,14.5044,46.0546
245,Sint Maarten (Dutch part),SXM,1951,1758956.0,1076432.0,1578,,
244,Senegal,SEN,1951,663931.0,302211.0,2619643,-17.4734,14.7247
243,Samoa,WSM,1951,7328.0,3664.0,90523,-171.752,-13.8314
242,Russia,RUS,1951,7127730000.0,449832320.0,104844658,37.6176,55.7558
241,Qatar,QAT,1951,1000272.0,388384.0,25091,51.5082,25.2948
240,Portugal,PRT,1951,215786510.0,5394485.0,8474201,-9.13552,38.7072
239,Poland,POL,1951,5688518000.0,122132220.0,25222692,21.02,52.26
238,Peru,PER,1951,209503310.0,4772736.0,7893620,-77.0465,-12.0931
237,Paraguay,PRY,1951,210485.0,48014.0,1537946,-57.6362,-25.3005
236,Papua New Guinea,PNG,1951,117248.0,62288.0,1574928,147.194,-9.47357
251,Sweden,SWE,1951,970128500.0,33436760.0,7072885,18.0645,59.3327
250,Spain,ESP,1951,1199572600.0,33115140.0,28214862,-3.70327,40.4167
249,South Sudan,SSD,1951,102379.0,58123.0,2529620,31.6,4.85
280,Chad,TCD,1951,69072.0,39470.0,2570410,15.0445,12.1048
279,Cape Verde,CPV,1951,179536.0,76944.0,187208,-23.5087,14.9218
278,Cameroon,CMR,1951,322432.0,183200.0,4395365,11.5174,3.8721
277,Bulgaria,BGR,1951,127514856.0,8164502.0,7314426,23.3238,42.7105
276,Brunei,BRN,1951,33221488.0,300448.0,51213,114.946,4.94199
275,Brazil,BRA,1951,337178340.0,21659348.0,55018849,-47.9292,-15.7801
274,Bosnia and Herzegovina,BIH,1951,44713230.0,2581004.0,2730245,18.4214,43.8607
273,Benin,BEN,1951,253045.0,115233.0,2267310,2.6323,6.4779
272,Belize,BLZ,1951,43968.0,25648.0,71137,-88.7713,17.2534
271,Belgium,BEL,1951,4791614000.0,89449784.0,8655755,4.36761,50.8371
270,Bangladesh,BGD,1951,2782630.0,1226293.0,42022311,90.4113,23.7055
269,Bahamas,BHS,1951,120912.0,65952.0,84603,-77.339,25.0661
268,Austria,AUT,1951,1701381000.0,23264090.0,6930487,16.3798,48.2201
187,Chile,CHL,1951,299858660.0,9981577.0,6756666,-70.6475,-33.475
186,Central African Republic,CAF,1951,109702.0,62687.004,1461255,21.6407,5.63056
185,Canada,CAN,1951,4668895700.0,162678030.0,14083298,-75.6919,45.4215
184,Burundi,BDI,1951,17588.0,8794.0,2305749,29.3639,-3.3784
183,Burkina Faso,BFA,1951,7442.0,3389.0,4260391,-1.53395,12.3605
182,Bolivia,BOL,1951,5606826.0,461515.0,3137299,-66.1936,-13.9908
181,Bermuda,BMU,1951,102592.0,58624.0,37820,-64.706,32.3293
180,Belarus,BLR,1951,324381980.0,20426020.0,7189431,27.5766,53.9678
179,Barbados,BRB,1951,227168.0,109920.0,213410,-59.6105,13.0935
178,Bahrain,BHR,1951,48654256.0,1176144.0,120764,50.5354,26.1921
177,Azerbaijan,AZE,1951,154477490.0,9694351.0,3187157,49.8932,40.3834
176,Australia,AUS,1951,1593154400.0,61121816.0,8418616,149.129,-35.282
175,Aruba,ABW,1951,1055541.0,645962.0,43880,-70.0167,12.5167
174,Armenia,ARM,1951,25604488.0,1604598.0,1417286,44.509,40.1596
173,Argentina,ARG,1951,576840000.0,34962916.0,17356467,-58.4173,-34.6118
172,Afghanistan,AFG,1951,190528.0,91600.0,7879343,69.1761,34.5228
